"tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyAccMag-mean()" "tGravityAccMag-mean()" "tBodyAccJerkMag-mean()" "tBodyGyroMag-mean()" "tBodyGyroJerkMag-mean()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-meanFreq()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-meanFreq()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-meanFreq()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyAccMag-mean()" "fBodyAccMag-meanFreq()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-meanFreq()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-meanFreq()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-meanFreq()" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-std()"
"WALKING_DOWNSTAIRS.2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.2" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.3" " 0.2734287196" "-0.0178560674" "-0.1064926324" " 0.7078143533" "-0.0260590480" " 0.0480937904" " 0.0701731262" " 0.0144664329" "-0.0005268189" "-0.0248490683" "-0.0743565308" " 0.0866875497" "-0.0991554610" "-0.0401923944" "-0.0521178264" "-0.5631408028" "-0.5631408028" "-0.6501824343" "-0.6431501216" "-0.7840566562" "-0.6257332899" "-0.5017799385" "-0.6996568286" "-0.1928173405" " 0.0389282523" " 0.0044726145" "-0.6458934966" "-0.5829499192" "-0.7801016442" "-0.0476941200" "-0.2368742409" "-0.1936575393" "-0.6420977198" "-0.7751449851" "-0.6707347090" "-0.1025680677" "-0.1676750256" "-0.0321862688" "-0.5790764538" " 0.0770665588" "-0.6047521081" " 0.1123198417" "-0.7168221443" "-0.0846075231" "-0.8100854987" " 0.0599628733" "-0.6234136020" "-0.4800159207" "-0.6536255793" "-0.9664575656" "-0.9445645371" "-0.9269662782" "-0.6354846880" "-0.5572118677" "-0.7960662402" "-0.6992621957" "-0.7630221817" "-0.7094834403" "-0.6893284286" "-0.8426598621" "-0.7430285006" "-0.5912247803" "-0.5912247803" "-0.6076582142" "-0.6740102910" "-0.8036613637" "-0.6238050152" "-0.5027536398" "-0.6574437658" "-0.6578440559" "-0.5598511861" "-0.8108060166" "-0.7192766227" "-0.7585052872" "-0.7510088757" "-0.6630798390" "-0.6156436949" "-0.7038394030" "-0.8100327187"
"WALKING_DOWNSTAIRS.3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.3" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.4" " 0.277034465" "-0.013349682" "-0.105916136" " 0.731456510" " 0.072347989" " 0.193993434" " 0.078016224" "-0.001031130" "-0.007370701" "-0.029872675" "-0.075008656" " 0.095660742" "-0.105098692" "-0.041062443" "-0.060866534" "-0.637532980" "-0.637532980" "-0.722340557" "-0.708221088" "-0.849581356" "-0.698994344" "-0.610966606" "-0.784964119" "-0.155747901" " 0.052027122" "-0.013844541" "-0.717973725" "-0.684648404" "-0.845383895" " 0.038834100" "-0.174386827" "-0.076475892" "-0.708097003" "-0.851859241" "-0.723913683" "-0.145349222" "-0.357592715" "-0.023592604" "-0.668273666" " 0.069160283" "-0.702045897" " 0.165043041" "-0.785172937" "-0.157891340" "-0.867601944" " 0.144910348" "-0.683864466" "-0.589609331" "-0.741959040" "-0.967576704" "-0.941706523" "-0.936724233" "-0.701066737" "-0.670976701" "-0.859502525" "-0.750915961" "-0.828888295" "-0.745904226" "-0.778479586" "-0.911436317" "-0.790578254" "-0.670122123" "-0.670122123" "-0.710246087" "-0.749105473" "-0.870579518" "-0.679316495" "-0.605879079" "-0.739920172" "-0.710952958" "-0.679116699" "-0.872348616" "-0.765931837" "-0.818105283" "-0.778863649" "-0.724979750" "-0.723261097" "-0.769330760" "-0.884187807"
"WALKING_DOWNSTAIRS.4" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.4" " 0.269685855" "-0.017108510" "-0.110053359" " 0.667377494" " 0.176064220" " 0.117030635" " 0.080200588" " 0.010681219" "-0.007378563" "-0.027473566" "-0.084581373" " 0.095806987" "-0.112213470" "-0.038434473" "-0.052986368" "-0.441789746" "-0.441789746" "-0.551665063" "-0.574385250" "-0.771259192" "-0.518103410" "-0.391561268" "-0.708346275" "-0.229896701" " 0.136415182" "-0.020455524" "-0.548003358" "-0.470861078" "-0.793248930" "-0.062652526" "-0.190358690" "-0.164332976" "-0.537445270" "-0.799459630" "-0.634729117" "-0.076199384" "-0.403312438" " 0.099551702" "-0.497723469" " 0.139269822" "-0.529301795" " 0.153282705" "-0.683314955" "-0.084208626" "-0.793458132" " 0.181417871" "-0.481157815" "-0.384255322" "-0.658285719" "-0.954845868" "-0.940959839" "-0.948783616" "-0.522686832" "-0.446980129" "-0.817881988" "-0.623295736" "-0.749889457" "-0.695570737" "-0.637528067" "-0.888412003" "-0.681795418" "-0.506297365" "-0.506297365" "-0.547890233" "-0.639915777" "-0.802559942" "-0.468588371" "-0.422334649" "-0.659623484" "-0.540002453" "-0.459377589" "-0.841927060" "-0.652062731" "-0.727336206" "-0.748519079" "-0.590882542" "-0.576991683" "-0.674631635" "-0.829831475"
"LAYING.5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.5" " 0.279177960" "-0.015483346" "-0.105661737" " 0.698153719" " 0.112313110" " 0.092160720" " 0.084101990" " 0.001765683" "-0.002953711" "-0.029451687" "-0.077431645" " 0.086626712" "-0.103522877" "-0.049062452" "-0.050625816" "-0.460866416" "-0.460866416" "-0.589313870" "-0.602770285" "-0.707383518" "-0.551237705" "-0.440232432" "-0.696171811" "-0.226370690" " 0.074863686" " 0.006266318" "-0.604769869" "-0.550991970" "-0.768762358" "-0.102920845" "-0.274290922" "-0.163706246" "-0.632239301" "-0.717062188" "-0.537329127" "-0.038164699" "-0.072066601" " 0.074402899" "-0.528503023" " 0.078145559" "-0.573176177" " 0.131619299" "-0.677355756" " 0.062219114" "-0.748829310" " 0.030756456" "-0.507691011" "-0.402724906" "-0.646443640" "-0.964629109" "-0.939973778" "-0.942078679" "-0.575890536" "-0.506544359" "-0.784561995" "-0.709955677" "-0.705638307" "-0.606589817" "-0.662581310" "-0.774114270" "-0.564680771" "-0.521623452" "-0.521623452" "-0.589031268" "-0.664078384" "-0.734187493" "-0.492829886" "-0.422162171" "-0.649351211" "-0.584013627" "-0.491500434" "-0.798835564" "-0.735738577" "-0.702290391" "-0.669353687" "-0.594259530" "-0.613485124" "-0.715731148" "-0.735610602"
"WALKING_DOWNSTAIRS.5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.5" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"LAYING.6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.6" " 0.269434152" "-0.016391112" "-0.117900692" " 0.670506154" " 0.061232137" " 0.058470278" " 0.086643509" " 0.001830608" "-0.000810931" "-0.034284023" "-0.077257012" " 0.104308755" "-0.091968029" "-0.043765676" "-0.057151341" "-0.619147950" "-0.619147950" "-0.701327652" "-0.690488146" "-0.780046966" "-0.646620303" "-0.578355100" "-0.814738365" "-0.139166304" " 0.050388006" " 0.048458253" "-0.677779818" "-0.660594547" "-0.859603672" "-0.029511860" "-0.269652391" "-0.113908220" "-0.710060817" "-0.761625062" "-0.668113881" "-0.006387996" "-0.090829742" " 0.038919663" "-0.631495454" " 0.086785667" "-0.652860664" " 0.123340131" "-0.738609504" " 0.035547196" "-0.802472023" " 0.063644877" "-0.647669170" "-0.553142396" "-0.789845078" "-0.956518989" "-0.952613167" "-0.940646610" "-0.667198722" "-0.627357097" "-0.871721441" "-0.767068673" "-0.761438069" "-0.723490206" "-0.739023005" "-0.820044063" "-0.706385072" "-0.626787110" "-0.626787110" "-0.659452355" "-0.722636444" "-0.798202747" "-0.649772162" "-0.568609162" "-0.793153623" "-0.686677798" "-0.616329705" "-0.882511910" "-0.786180311" "-0.764108118" "-0.770467456" "-0.682816080" "-0.669980860" "-0.760907236" "-0.807005714"
"WALKING_DOWNSTAIRS.6" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_UPSTAIRS.6" " 0.280179098" "-0.020694959" "-0.110940029" " 0.736951892" "-0.103190808" " 0.018483305" " 0.067435101" "-0.003104012" "-0.006098688" "-0.067430938" "-0.052994842" " 0.078762567" "-0.058912856" "-0.050070036" "-0.043310326" "-0.055408269" "-0.055408269" "-0.153888889" "-0.175624995" "-0.202676039" "-0.133757973" " 0.102003879" "-0.336322224" "-0.330407854" " 0.081878247" " 0.284312711" "-0.208956202" "-0.087150038" "-0.352981568" "-0.270896175" "-0.400274191" "-0.065611652" "-0.078832764" "-0.248795741" "-0.081983050" " 0.122504504" " 0.084596206" " 0.265781059" "-0.056280037" " 0.143609598" "-0.075973439" "-0.023543749" "-0.156240716" " 0.286221526" "-0.252582564" " 0.130006027" "-0.127000601" " 0.121465311" "-0.361381609" "-0.965208977" "-0.946484615" "-0.930654189" "-0.171553961" " 0.004090882" "-0.386900927" "-0.353449524" "-0.267781342" "-0.272215023" "-0.034200118" "-0.300014548" "-0.050992389" "-0.104608867" "-0.104608867" "-0.087900445" "-0.201180789" "-0.236835500" "-0.127245615" " 0.059230104" "-0.432409408" "-0.207095972" " 0.035467820" "-0.419621474" "-0.445412804" "-0.286205155" "-0.414621153" "-0.274171342" "-0.110288507" "-0.382816980" "-0.270829337"
"LAYING.7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"SITTING.7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"STANDING.7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING.7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"WALKING_DOWNSTAIRS.7" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
